legId,isNonStop,totalFare,segmentsDepartureAirportCode,segmentsArrivalAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay,startingAirport,destinationAirport
6e3925d4b55a28eb15ba9ae3086ce0fd,false,572.6,DTW||AUS,AUS||LAX,Delta||Alaska Airlines,4||4,13:00||19:00,4||4,16:00||22:30,DTW,LAX
f81db67c9d68fdd1f51d6c452fb7a187,false,567.6,LAX||SMF,SMF||CLT,American Airlines||American Airlines,5||5,01:45||05:45,5||5,03:15||10:30,LAX,CLT
760c49eea67a9415364a194a73d46904,true,175.59,EWR,ATL,Spirit Airlines,4,21:00,4,23:30,EWR,ATL
f8e8c424cc0438aea198e46d7e10232c,false,267.6,JFK||ORF,ORF||CLT,American Airlines||American Airlines,2||2,16:00||19:00,2||2,17:15||20:30,JFK,CLT
02a0ca0e6a0984a559efd1102cefa4b9,false,81.1,CLT||EWR,EWR||BOS,United||United,3||3,18:00||21:15,3||3,20:00||22:30,CLT,BOS
6943b5a79af1c0e24acbaa27569ff446,true,404.35,DEN,LGA,American Airlines,7,16:00,7,20:00,DEN,LGA
ffc08740ee2ce44f5cd05409e3fc0a2a,true,438.6,ATL,LAX,Delta,2,22:15,3,03:00,ATL,LAX
97b082e6b86f7423eff3042ec277203e,false,493.1,MIA||IAH||AUS,IAH||AUS||LAX,United||United||Alaska Airlines,1||1||1,12:00||16:15||20:30,1||1||1,14:45||17:15||23:45,MIA,LAX
44d78f5b498bb540b9a76241ebc59b6a,true,319.6,BOS,LAX,JetBlue Airways,3,10:30,3,16:45,BOS,LAX
3a43bf8d0a81739055d47102830e1400,false,201.7,CLT||BWI,BWI||ORD,American Airlines||American Airlines,2||2,02:30||11:00,2||2,04:00||13:15,CLT,ORD
51301f533613b41d8ada9c7c15270602,true,468.61,MIA,SFO,American Airlines,5,12:30,5,18:45,MIA,SFO
6caf47497d8c15caae21ceebc5090901,false,340.2,PHL||TVC,TVC||DFW,American Airlines||American Airlines,7||7,12:30||20:45,7||7,14:45||23:45,PHL,DFW
8c7e494c9b6c20f5f3744670646e9f3a,false,311.1,CLT||BNA,BNA||DFW,American Airlines||American Airlines,6||6,20:00||22:30,6||7,21:15||00:45,CLT,DFW
50189ee6cecdd29c33c7b538487468f9,false,527.19,JFK||RIC,RIC||ORD,Delta||United,3||3,01:15||10:45,3||3,03:15||13:00,JFK,ORD
05018a9b2f0cb89044b74bdbe94417f6,false,257.21,OAK||SEA,SEA||SFO,Alaska Airlines||Alaska Airlines,7||1,20:00||02:00,7||1,22:00||04:15,OAK,SFO
ee53676e360f2bf54aba234ad1c17c4d,false,361.6,ATL||MIA,MIA||LAX,American Airlines||American Airlines,6||6,10:00||12:45,6||6,11:45||18:15,ATL,LAX
b55864989c163fb8755ffddb3283cc74,false,233.6,DFW||IAH,IAH||MIA,American Airlines||American Airlines,4||4,13:30||16:15,4||4,14:45||18:45,DFW,MIA
376dbb524df2c36780f72dfce2eff7e9,false,295.61,PHL||BOS,BOS||ATL,JetBlue Airways||JetBlue Airways,1||1,13:15||17:45,1||1,15:00||20:30,PHL,ATL
988d8fa5a5601c0978bfb72b0c8f92b5,true,258.6,LAX,SFO,Delta,1,15:15,1,17:00,LAX,SFO
b44127a8292200b77b5ad64f08d978c2,false,437.1,CLT||PHX,PHX||SFO,American Airlines||American Airlines,2||2,18:45||23:45,2||3,23:15||01:45,CLT,SFO
e584278e71dd245ef3ef7f09b84005ee,false,544.6,ATL||IAD,IAD||DFW,United||United,7||7,13:30||17:15,7||7,15:15||20:30,ATL,DFW
47461b420e625f5a5a0aab9eea442a92,true,188.6,MIA,BOS,JetBlue Airways,3,18:15,3,21:45,MIA,BOS
3169ef2b37a981b7b1acaaa75f02c5a0,false,244.6,ORD||MSP,MSP||EWR,Sun Country Airlines||Sun Country Airlines,5||5,03:00||12:00,5||5,04:45||14:45,ORD,EWR
448491568cb531e35ed5893962556926,false,481.59,ORD||DCA,DCA||JFK,United||Delta,2||2,11:00||15:15,2||2,13:00||16:30,ORD,JFK
329a2ac7198eb4365b5e5a48748d3f70,true,138.6,DEN,EWR,United,3,19:45,3,23:15,DEN,EWR
d3913d791a1ce08e6e280205e92afbdb,false,247.6,DFW||IAH,IAH||LGA,United||United,6||6,21:15||23:30,6||7,22:30||03:30,DFW,LGA
61a9e47017651db0486253e6c33f31c4,false,681.6,SFO||IND,IND||DTW,United||Delta,4||4,05:30||10:30,4||4,09:45||11:45,SFO,DTW
3e41310b84ba88296ab7ff9043f1356b,false,386.7,SFO||LAX||BNA,LAX||BNA||ATL,Delta||Delta||Delta,6||7||7,20:00||00:00||10:30,6||7||7,21:30||04:00||11:30,SFO,ATL
25ce71c930d105bd25671419fb335c73,false,367.6,PHL||DCA,DCA||ATL,American Airlines||American Airlines,7||7,20:30||23:00,7||1,21:45||01:15,PHL,ATL
df95aacb428eff10e16b87d47251500b,false,497.2,OAK||SEA,SEA||DEN,Alaska Airlines||Alaska Airlines,5||6,20:00||03:00,5||6,22:00||05:30,OAK,DEN
9ec823881548246a5b3f9cfb27b61444,true,285.6,DTW,DEN,United,6,20:30,6,23:45,DTW,DEN
21809d9dd18aff2541996c209e1b3371,false,508.6,SFO||SEA,SEA||DFW,Alaska Airlines||Alaska Airlines,2||2,02:45||06:00,2||2,05:00||09:45,SFO,DFW
07ee41275501ed388acedc3d7a1efbc6,false,581.6,SFO||EWR,EWR||ATL,United||United,5||5,07:00||16:00,5||5,12:15||18:30,SFO,ATL
